Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0922,02/06/2026,02/06/2026,CLOUDFLARE,Office & Shipping,Sale,-10.46,
0922,02/04/2026,02/04/2026,STATEMENT CREDIT,Fees & Adjustments,Adjustment,924.23,
0922,02/04/2026,02/04/2026,Payment Thank You - Web,,Payment,687.00,
0922,02/03/2026,02/03/2026,Payment Thank You - Web,,Payment,219.36,
0922,02/02/2026,02/03/2026,KSU REAL ESTATE FUND,Education,Sale,-687.00,
0922,02/02/2026,02/02/2026,Payment Thank You - Web,,Payment,114.61,
0922,02/01/2026,02/02/2026,GOOGLE *SVCStargonglob,Bills & Utilities,Sale,-67.01,
0922,02/01/2026,02/02/2026,GOOGLE *Workspace_targ,Bills & Utilities,Sale,-102.96,
0922,02/01/2026,02/02/2026,Amazon web services,Bills & Utilities,Sale,-49.39,
0922,01/30/2026,02/01/2026,INTUIT *QBooks Payroll,Office & Shipping,Sale,-169.00,
0922,01/28/2026,01/29/2026,ASUS.COM,Merchandise & Inventory,Return,139.35,
0922,01/29/2026,01/29/2026,SP TRUE IMAGE TECH,Office & Shipping,Sale,-71.96,
0922,01/26/2026,01/27/2026,US MOBILE,Bills & Utilities,Sale,-13.00,
0922,01/19/2026,01/19/2026,Payment Thank You - Web,,Payment,1411.69,
0922,01/18/2026,01/18/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-41.11,
0922,01/16/2026,01/18/2026,AMAZON.CO.UK,Merchandise & Inventory,Sale,-1370.58,
0922,01/14/2026,01/14/2026,Payment Thank You - Web,,Payment,218.41,
0922,01/12/2026,01/13/2026,SP DAS KEYBOARD,Office & Shipping,Sale,-184.62,
0922,01/10/2026,01/12/2026,FEDEX OFFIC13400001347,Office & Shipping,Sale,-12.54,
0922,01/09/2026,01/11/2026,USPS CHANGE OF ADDRESS,Office & Shipping,Sale,-1.25,
0922,01/06/2026,01/07/2026,COURSERA.ORG,Education,Sale,-20.00,
0922,01/05/2026,01/05/2026,Payment Thank You - Web,,Payment,1600.27,
0922,01/02/2026,01/04/2026,AMZ*Amazon Payments,Merchandise & Inventory,Sale,-748.69,
0922,01/04/2026,01/04/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-19.89,
0922,01/02/2026,01/04/2026,AMAZON.CO.UK,Merchandise & Inventory,Sale,-663.33,
0922,01/01/2026,01/02/2026,GOOGLE *SVCStargonglob,Bills & Utilities,Sale,-46.39,
0922,01/01/2026,01/02/2026,Amazon web services,Bills & Utilities,Sale,-21.17,
0922,01/01/2026,01/02/2026,GOOGLE *Workspace_targ,Office & Shipping,Sale,-100.80,
0922,01/01/2026,01/01/2026,Payment Thank You - Web,,Payment,186.00,
0922,12/30/2025,12/31/2025,INTUIT *QBooks Payroll,Office & Shipping,Sale,-173.00,
0922,12/27/2025,12/28/2025,US MOBILE,Bills & Utilities,Sale,-13.00,
0922,12/26/2025,12/26/2025,Payment Thank You - Web,,Payment,687.00,
0922,12/22/2025,12/23/2025,KSU REAL ESTATE FUND,Education,Sale,-687.00,
0922,12/22/2025,12/22/2025,Payment Thank You - Web,,Payment,2965.33,
0922,12/19/2025,12/21/2025,AMZ*Amazon Payments,Merchandise & Inventory,Sale,-2967.96,
0922,12/20/2025,12/21/2025,AMAZON MKTPLACE PMTS,Merchandise & Inventory,Return,32.63,
0922,12/17/2025,12/19/2025,KANSAS SEC OF STATE,Bills & Utilities,Sale,-30.00,
0922,12/17/2025,12/17/2025,Payment Thank You-Mobile,,Payment,10.66,
0922,12/05/2025,12/07/2025,AMZ*Amazon Payments,Merchandise & Inventory,Sale,-39.99,
0922,12/06/2025,12/07/2025,COURSERA.ORG,Education,Sale,-20.00,
0922,12/04/2025,12/04/2025,Payment Thank You - Web,,Payment,599.30,
0922,12/03/2025,12/04/2025,BEST BUY      00011015,Merchandise & Inventory,Return,49.33,
0922,12/03/2025,12/03/2025,AMAZON MKTPL*BI5WT5AA2,Merchandise & Inventory,Sale,-43.25,
0922,12/03/2025,12/03/2025,AMAZON MKTPL*BI5MK5A52,Merchandise & Inventory,Sale,-7.22,
0922,12/02/2025,12/03/2025,AMAZON MKTPL*BB9M74HD0,Merchandise & Inventory,Sale,-55.93,
0922,12/02/2025,12/03/2025,BESTBUYCOM807117563686,Merchandise & Inventory,Sale,-77.47,
0922,12/01/2025,12/03/2025,GOOGLE *SVCStargonglob,Bills & Utilities,Sale,-33.25,
0922,12/02/2025,12/03/2025,Amazon web services,Bills & Utilities,Sale,-96.60,
0922,12/01/2025,12/03/2025,CLAUDE.AI SUBSCRIPTION,Office & Shipping,Sale,-10.00,
0922,12/01/2025,12/03/2025,GOOGLE *Workspace_targ,Office & Shipping,Sale,-24.12,
0922,11/30/2025,12/01/2025,INTUIT *QBooks Payroll,Office & Shipping,Sale,-91.50,
0922,11/30/2025,12/01/2025,WAL-MART #0035,Food & Drink,Sale,-21.47,
0922,11/30/2025,12/01/2025,BEST BUY      00011015,Merchandise & Inventory,Sale,-80.21,
0922,11/30/2025,12/01/2025,WAL-MART #0035,Food & Drink,Sale,-58.28,
0922,11/29/2025,11/30/2025,Payment Thank You-Mobile,,Payment,13.00,
0922,11/28/2025,11/28/2025,Payment Thank You-Mobile,,Payment,190.32,
0922,11/27/2025,11/28/2025,US MOBILE,Bills & Utilities,Sale,-13.00,
0922,11/25/2025,11/26/2025,AMAZON MKTPL*B29LK2DV2,Merchandise & Inventory,Sale,-17.98,
0922,11/24/2025,11/26/2025,KSU REAL ESTATE FUND,Education,Return,687.00,
0922,11/26/2025,11/26/2025,ASUS.COM,Merchandise & Inventory,Sale,-139.35,
0922,11/24/2025,11/25/2025,Amazon.com*B256N50O1,Merchandise & Inventory,Sale,-23.89,
0922,11/25/2025,11/25/2025,AMAZON MKTPL*B20I77X91,Merchandise & Inventory,Sale,-10.90,
0922,11/24/2025,11/25/2025,GlobalE /Logitech,Merchandise & Inventory,Sale,-80.38,
0922,11/24/2025,11/24/2025,Payment Thank You-Mobile,,Payment,117.16,
0922,11/23/2025,11/24/2025,DOLLAR TREE,Merchandise & Inventory,Sale,-16.42,
0922,11/23/2025,11/24/2025,GOOGLE *Workspace_targ,Office & Shipping,Sale,-70.80,
0922,11/23/2025,11/24/2025,DOLLAR TREE,Merchandise & Inventory,Sale,-4.93,
0922,11/23/2025,11/24/2025,BEST BUY      00011015,Merchandise & Inventory,Sale,-438.59,
0922,11/22/2025,11/24/2025,U-HAULMIDWEST ACE HARDWAR,Automotive,Sale,-74.08,
0922,11/23/2025,11/23/2025,Payment Thank You-Mobile,,Payment,1416.08,
0922,11/22/2025,11/23/2025,SQ *MODERN MARKETPLACE MH,Merchandise & Inventory,Sale,-111.85,
0922,11/22/2025,11/23/2025,HY-VEE F&amp;F MANHATTAN 5398,Gas,Sale,-5.31,
0922,11/20/2025,11/21/2025,KSU REAL ESTATE FUND,Education,Sale,-687.00,
0922,11/20/2025,11/21/2025,KSU REAL ESTATE FUND,Education,Sale,-687.00,
0922,11/13/2025,11/14/2025,TEXAS SECRETARY OF STA,Bills & Utilities,Sale,-40.00,
0922,11/13/2025,11/14/2025,TEXAS S.O.S. SVC,Bills & Utilities,Sale,-1.08,
0922,11/12/2025,11/13/2025,TEXAS SECRETARY OF STA,Bills & Utilities,Sale,-1.00,
0922,11/05/2025,11/05/2025,Payment Thank You - Web,,Payment,1072.08,
0922,11/01/2025,11/02/2025,LinkedIn P907408024,Bills & Utilities,Sale,-12.14,
0922,11/01/2025,11/02/2025,Amazon web services,Bills & Utilities,Sale,-95.89,
0922,11/01/2025,11/02/2025,GOOGLE *GSUITE_targong,Office & Shipping,Sale,-110.57,
0922,11/01/2025,11/02/2025,GOOGLE *SVCStargonglob,Bills & Utilities,Sale,-16.70,
0922,10/30/2025,10/31/2025,INTUIT *QBooks Payroll,Office & Shipping,Sale,-103.50,
0922,10/28/2025,10/29/2025,US MOBILE,Bills & Utilities,Sale,-13.00,
0922,10/24/2025,10/26/2025,CLAUDE.AI SUBSCRIPTION,Office & Shipping,Return,20.00,
0922,10/24/2025,10/24/2025,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-21.56,
0922,10/23/2025,10/24/2025,KSU REAL ESTATE FUND,Education,Sale,-718.72,
0922,10/22/2025,10/22/2025,Payment Thank You - Web,,Payment,20.00,
0922,10/20/2025,10/21/2025,CLAUDE.AI SUBSCRIPTION,Office & Shipping,Sale,-20.00,
0922,10/18/2025,10/19/2025,Payment Thank You - Web,,Payment,103.50,
0922,10/16/2025,10/17/2025,PAYPAL *HQ TAX FINA,Professional Services,Sale,-103.50,
0922,10/14/2025,10/14/2025,Payment Thank You - Web,,Payment,717.46,
0922,10/03/2025,10/05/2025,Payment Thank You - Web,,Payment,116.14,
0922,10/02/2025,10/03/2025,Amazon web services,Bills & Utilities,Sale,-30.46,
0922,10/02/2025,10/03/2025,KSU REAL ESTATE FUND,Education,Sale,-687.00,
0922,10/01/2025,10/02/2025,Payment Thank You - Web,,Payment,94.50,
0922,10/01/2025,10/02/2025,GOOGLE *SVCStargonglob,Bills & Utilities,Sale,-8.62,
0922,10/01/2025,10/02/2025,GOOGLE *GSUITE_targong,Office & Shipping,Sale,-107.52,
0922,09/30/2025,10/01/2025,INTUIT *QBooks Payroll,Office & Shipping,Sale,-81.50,
0922,09/28/2025,09/29/2025,US MOBILE,Bills & Utilities,Sale,-13.00,
0922,09/23/2025,09/23/2025,Payment Thank You-Mobile,,Payment,165.00,
0922,09/20/2025,09/21/2025,CLAUDE.AI SUBSCRIPTION,Office & Shipping,Sale,-20.00,
0922,09/18/2025,09/19/2025,VCN*VIRGINIASCC,Bills & Utilities,Sale,-100.00,
0922,09/17/2025,09/19/2025,KANSAS SECRETARY OF STAT,Bills & Utilities,Sale,-45.00,
0922,09/13/2025,09/14/2025,Payment Thank You-Mobile,,Payment,1145.00,
0922,09/11/2025,09/12/2025,KSU REAL ESTATE FUND,Education,Sale,-687.00,
0922,09/11/2025,09/12/2025,KSU REAL ESTATE FUND,Education,Sale,-458.00,
0922,09/08/2025,09/08/2025,Payment Thank You-Mobile,,Payment,424.00,
0922,09/05/2025,09/07/2025,SHELTER INSURANCE - ONE,Bills & Utilities,Sale,-424.00,
0922,09/05/2025,09/05/2025,Payment Thank You-Mobile,,Payment,11.86,
0922,09/03/2025,09/04/2025,CLOUDFLARE,Office & Shipping,Sale,-11.86,
